Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
MNZ,HAMILTON MUNICIPAL,Yes,No,No,Yes
HRL,VALLEY INTERNATIONAL,Yes,No,No,No
15F,HASKELL MUNICIPAL,No,No,No,No
LHB,HEARNE MUNICIPAL,Yes,No,No,Yes
HBV,JIM HOGG COUNTY,No,No,No,Yes
RFI,RUSK COUNTY,Yes,No,No,No
HRX,HEREFORD MUNICIPAL,No,No,No,No
1X1,HIGGINS-LIPSCOMB COUNTY,No,No,No,Yes
INJ,HILLSBORO MUNICIPAL,Yes,No,No,No
HDO,SOUTH TEXAS RGNL AT HONDO,Yes,No,No,Yes
DZB,HORSESHOE BAY RESORT,No,No,No,No
CXO,CONROE-NORTH HOUSTON REGIONAL,Yes,No,No,Yes
T51,DAN JONES INTL,No,No,No,No
DWH,DAVID WAYNE HOOKS MEMORIAL,Yes,No,No,Yes
EFD,ELLINGTON FIELD,Yes,No,No,Yes
39R,FLYIN’ B,No,No,No,Yes
IAH,GEORGE BUSH INTERCONTINENTAL,Yes,No,No,Yes
TME,HOUSTON EXECUTIVE,No,No,No,No
2H5,HOUSTON FORT BEND,No,No,No,No
AXH,HOUSTON-SOUTHWEST,Yes,No,No,No
9X1,NORTH HOUSTON,No,No,No,No
LVJ,PEARLAND REGIONAL,Yes,No,No,No
SGR,SUGAR LAND REGIONAL,Yes,No,No,Yes
EYQ,WEISER AIR PARK,No,No,No,No
IWS,WEST HOUSTON,Yes,No,No,No
HOU,WILLIAM P HOBBY,Yes,No,No,No
UTS,HUNTSVILLE MUNICIPAL,Yes,No,No,No
TFP,McCAMPBELL - PORTER,Yes,No,No,No
2F0,IRAAN MUNICIPAL,No,No,No,Yes
21F,JACKSBORO MUNICIPAL,No,No,No,No
JSO,CHEROKEE COUNTY,Yes,No,No,No
JAS,JASPER COUNTY-BELL FIELD,Yes,No,No,No
22F,KENT COUNTY,No,No,No,No
24F,CYPRESS RIVER,Yes,No,No,No
6F7,MANNING FIELD,Yes,No,Yes,No
JCT,KIMBLE COUNTY,No,No,No,Yes
3T6,CLARK,No,No,No,No
16X,PROPWASH,No,No,No,No
XA0,PROSE FIELD,No,No,No,No
2R9,KARNES COUNTY,No,No,No,Yes
ERV,LOUIS SCHREINER FIELD,Yes,No,No,No
ILE,SKYLARK FIELD,Yes,No,No,Yes
IKG,KLEBERG COUNTY,Yes,No,No,No
T12,KIRBYVILLE,Yes,No,No,No
F75,HARRISON FIELD OF KNOX CITY,No,No,No,No
45R,"SILSBEE, HAWTHORNE FIELD",No,No,No,No
29F,JOE VAUGHN SPRAYING,Yes,No,No,No
E58,BIRD DOG AIRFIELD,No,No,No,No
3T5,FAYETTE REGIONAL AIR CENTER,No,No,No,No
T41,LA PORTE MUNICIPAL,Yes,No,No,No
RYW,RUSTY ALLEN,No,No,No,Yes
30F,LAKEVIEW,No,No,No,No
3R9,LAKEWAY AIRPARK,Yes,No,No,Yes
LUV,LAMESA MUNICIPAL,Yes,No,No,No
LZZ,LAMPASAS,No,No,No,No
LNC,LANCASTER RGNL,Yes,No,No,Yes
LRD,LAREDO INTERNATIONAL,Yes,No,No,Yes
49R,REAL COUNTY,No,No,No,Yes
LLN,LEVELLAND MUNICIPAL,No,No,No,No
T78,LIBERTY MUNICIPAL,Yes,No,No,No
7T0,FREEDOM FIELD,No,No,No,No
LIU,LITTLEFIELD TAYLOR BROWN MUNICIPAL,Yes,No,No,Yes
00R,LIVINGSTON MUNICIPAL,No,No,No,No
AQO,LLANO MUNICIPAL,Yes,No,No,Yes
50R,LOCKHART MUNICIPAL,Yes,No,No,No
GGG,EAST TEXAS REGIONAL,No,No,No,Yes
T26,FLYING V RANCH,No,No,No,No
F82,EXECUTIVE AIRPARK,Yes,No,No,Yes
LBB,LUBBOCK PRESTON SMITH INTL,Yes,No,No,Yes
LFK,ANGELINA COUNTY,Yes,No,No,Yes
T91,THE CARTER MEMORIAL,No,No,No,No
51R,MADISONVILLE MUNICIPAL,No,No,No,No
3T2,WOLFE AIR PARK,Yes,No,No,Yes
MRF,MARFA MUNICIPAL,Yes,No,No,No
T15,MARLIN,No,No,No,No
ASL,HARRISON COUNTY,Yes,No,No,No
T92,MASON COUNTY,No,No,No,No
MFE,MC ALLEN MILLER INTL,Yes,No,No,No
E48,UPTON COUNTY,No,No,No,No
T31,AERO COUNTRY,No,No,No,No
2E7,GRAY COUNTY,No,No,No,No
F21,MEMPHIS MUNICIPAL,No,No,No,No
T50,MENARD COUNTY,No,No,No,Yes
HQZ,MESQUITE METRO,Yes,No,No,Yes
LXY,MEXIA-LIMESTONE COUNTY,Yes,No,No,No
3E0,MIAMI-ROBERTS COUNTY,Yes,No,No,Yes
MDD,MIDLAND AIRPARK,Yes,No,No,Yes
MAF,MIDLAND INTL AIR AND SPACE PORT,No,No,No,Yes
7T7,SKYWEST INC,No,No,No,No
T56,EAGLES NEST ESTATES,No,No,No,No
JWY,"WAXAHACHIE, MID-WAY RGNL",Yes,No,No,No
3F9,MINEOLA WISENER FIELD,Yes,No,No,Yes
JDD,"QUITMAN, WOOD COUNTY-COLLINS FIELD",Yes,No,No,Yes
MWL,MINERAL WELLS REGIONAL,Yes,No,No,No
E01,ROY HURD MEMORIAL,Yes,No,No,Yes
F85,COCHRAN COUNTY,Yes,No,No,No
OSA,MOUNT PLEASANT RGNL,Yes,No,No,No
6X0,TARRANT FIELD,No,No,No,No
F53,FRANKLIN COUNTY,No,No,No,Yes
2T1,MULESHOE MUNICIPAL,No,No,No,Yes
37F,MUNDAY MUNICIPAL,No,No,No,No
OCH,NACOGDOCHES A L MANGHAM JR RGNL,No,No,No,No
60R,NAVASOTA MUNICIPAL,No,No,No,Yes
BAZ,NEW BRAUNFELS REGIONAL,Yes,No,No,Yes
61R,NEWTON MUNICIPAL,No,No,No,No
ODO,ODESSA-SCHLEMEYER FIELD,Yes,No,No,No
ONY,OLNEY MUNICIPAL,Yes,No,No,No
ORG,ORANGE COUNTY,Yes,No,No,No
OZA,OZONA MUNICIPAL,No,No,No,No
3F6,DAN E RICHARDS MUNICIPAL,Yes,No,No,Yes
PSX,PALACIOS MUNICIPAL,Yes,No,No,No
PSN,PALESTINE MUNICIPAL,Yes,No,No,No
T13,DALLAS SOUTH PORT,No,No,No,Yes
PPA,PERRY LEFORS FIELD,Yes,No,No,No
T45,PANHANDLE-CARSON COUNTY,No,No,No,Yes
PRX,COX FIELD,Yes,No,No,Yes
T79,SKYWAY MANOR,No,No,No,Yes
T30,MC KINLEY FIELD,No,No,No,No
PEQ,PECOS MUNICIPAL,Yes,No,No,Yes
PYX,PERRYTON OCHILTREE COUNTY,Yes,No,No,No
T24,PINELAND MUNICIPAL,No,No,No,No
F98,YOAKUM COUNTY,No,No,No,No
PVW,HALE COUNTY,Yes,No,No,No
PEZ,PLEASANTON MUNICIPAL,Yes,No,No,No
74T,HICKS,No,No,No,No
RAS,MUSTANG BEACH,No,No,No,Yes
PIL,PORT ISABEL-CAMERON COUNTY,Yes,No,No,Yes
PKV,CALHOUN COUNTY,Yes,No,No,No
T05,CHARLES R JOHNSON,Yes,No,No,Yes
9R5,HUNT,Yes,No,No,No
5F1,GARZA COUNTY MUNICIPAL,No,No,No,No
3T9,BIG BEND RANCH STATE PARK,No,No,No,Yes
PRS,PRESIDIO LELY INTERNATIONAL,Yes,No,No,Yes
F01,QUANAH MUNICIPAL,Yes,No,No,Yes
T14,ROCKIN M,No,No,No,No
F23,RANGER MUNICIPAL,No,No,No,No
49F,RANKIN,No,No,No,Yes
RFG,ROOKE FIELD,Yes,No,No,No
T76,RHOME MEADOWS,No,No,No,No
67R,RIO GRANDE CITY MUNICIPAL,No,No,No,No
52F,AERO VALLEY,Yes,No,No,No
RBO,NUECES COUNTY,No,No,No,Yes
RCK,H H COFFIELD REGIONAL,No,No,No,Yes
RKP,ARANSAS COUNTY,Yes,No,No,No
ECU,EDWARDS COUNTY,No,No,No,No
T48,PHILLIPS FLYING RANCH,No,No,No,No
F46,ROCKWALL MUNICIPAL,Yes,No,No,No
T54,LANE AIRPARK,No,No,No,No
56F,"ROBY, FISHER COUNTY",No,No,No,No
2TX,SALADO,No,No,No,Yes
SJT,MATHIS FIELD,Yes,No,No,Yes
5C1,BOERNE STAGE FIELD,Yes,No,No,Yes
1T8,BULVERDE AIRPARK,No,No,No,No
74R,HORIZON,No,No,No,No
SKF,KELLY FIELD,No,No,No,No
1T7,KESTREL AIRPARK,Yes,No,No,No
SAT,SAN ANTONIO INTERNATIONAL,No,No,No,Yes
8T8,SAN GERONIMO AIRPARK,No,No,No,No
SSF,STINSON MUNICIPAL,Yes,No,No,Yes
T94,TWIN-OAKS,No,No,No,No
78R,SAN AUGUSTINE COUNTY,No,No,No,No
81R,SAN SABA COUNTY MUNICIPAL,Yes,No,No,Yes
T87,FLYING C,No,No,No,No
T58,IRONHEAD,No,No,No,No
58F,LANE FIELD,No,No,No,No
6X8,VULTURES ROW,No,No,No,No
F97,SEAGRAVES,No,No,No,No
E70,"HUBER AIRPARK CIVIC CLUB, LLC",No,No,No,No
GNC,GAINES COUNTY,No,No,No,No
60F,SEYMOUR MUNICIPAL,Yes,No,No,No
2F1,SHAMROCK MUNICIPAL,No,No,No,No
SWI,SHERMAN MUNICIPAL,Yes,No,No,Yes
GYI,PERRIN FIELD,Yes,No,No,No
T69,ALFRED C ‘BUBBA’ THOMAS,Yes,No,No,No
F49,SLATON MUNICIPAL,Yes,No,No,No
T28,CAIN,No,No,No,No
84R,SMITHVILLE CRAWFORD MUNICIPAL,No,No,No,Yes
SNK,WINSTON FIELD,Yes,No,No,No
53T,CANNON FIELD,No,No,No,No
SOA,SONORA MUNICIPAL,No,No,No,Yes
E42,MAJOR SAMUEL B CORNELIUS FIELD,Yes,No,No,No
88R,SPICEWOOD,No,No,No,No
F56,ARLEDGE FIELD,No,No,No,No
63F,STANTON MUNICIPAL,No,No,No,No
SEP,CLARK REGIONAL,Yes,No,No,Yes
H70,STRATFORD FIELD,No,No,No,Yes
SLR,SULPHUR SPRINGS MUNICIPAL,Yes,No,No,No
X43,SUNRAY,No,No,No,Yes
2KL,SUNRISE BEACH,No,No,No,Yes
SWW,AVENGER FIELD,Yes,No,No,No
2F4,T-BAR,Yes,No,No,Yes
T74,TAYLOR MUNICIPAL,Yes,No,No,No
68F,TEAGUE MUNICIPAL,No,No,No,No
TPL,DRAUGHON-MILLER CENTRAL TEXAS REGIONAL,No,No,No,No
TRL,TERRELL MUNICIPAL,Yes,No,No,Yes
72F,THROCKMORTON MUNICIPAL,No,No,No,No
I06,SWISHER COUNTY MUNICIPAL,Yes,No,No,No
TYR,TYLER POUNDS REGIONAL,Yes,No,No,Yes
UVA,GARNER FIELD,Yes,No,No,No
9F1,VALLEY MILLS MUNICIPAL,No,No,No,No
VHN,CULBERSON COUNTY,Yes,No,No,No
E52,OLDHAM COUNTY,No,No,No,No
F05,WILBARGER COUNTY,Yes,No,No,No
VCT,VICTORIA REGIONAL,No,No,No,Yes
PWG,McGREGOR EXECUTIVE,Yes,No,No,No
CNW,TEXAS STATE TECH COLLEGE,No,No,No,Yes
ACT,WACO REGIONAL,No,No,No,Yes
73F,WINGS FOR CHRIST INTL FLIGHT ACADEMY,No,No,No,No
F78,HORSESHOE BEND,No,No,No,No
WEA,PARKER COUNTY,No,No,No,No
F06,MARIAN AIRPARK,No,No,No,No
TXW,MID VALLEY,Yes,No,No,Yes
94R,LACKEY AVIATION,No,No,No,No
ARM,WHARTON REGIONAL,Yes,No,No,No
T59,WHEELER MUNICIPAL,Yes,No,No,No
T29,FLYING H RANCH,No,No,No,No
CWC,KICKAPOO DOWNTOWN,Yes,No,No,No
SPS,WICHITA FALLS MUNI,Yes,No,No,No
F14,WICHITA VALLEY,No,No,No,No
76F,VAN ZANDT COUNTY REGIONAL,No,No,No,No
INK,WINKLER COUNTY,Yes,No,No,No
T90,"STOWELL, CHAMBERS COUNTY WINNIE STOWELL",No,No,No,No
F51,WINNSBORO MUNICIPAL,No,No,No,Yes
77F,WINTERS MUNICIPAL,No,No,No,Yes
09R,TYLER COUNTY,No,No,No,Yes
T85,YOAKUM MUNICIPAL,No,No,No,Yes
APY,ZAPATA COUNTY,Yes,No,No,Yes
49T,CBD VERTIPORT,No,No,No,Yes
73T,DESOTO HELIPORT,No,No,No,No
T34,TALON AIR,No,No,No,No
12T,"RED OAK, FERRIS RED OAK MUNI",No,No,No,Yes
T57,HELIPORT,No,No,No,Yes
T95,BAY ELECTRIC SUPPLY HELIPORT,No,No,No,No
